Company,TypeName,Ram,OpSys,Weight,TouchScreen,IPS,PPI,CPU_name,HDD,SSD,Gpu brand
Asus,Notebook,8,Windows,1.4,0,0,157.3505121487356,Intel Core i5,0,256,Intel
HP,Notebook,8,Windows,1.86,0,0,141.21199808219862,Intel Core i5,0,256,Intel
Asus,Ultrabook,16,Windows,1.8,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia
HP,Notebook,4,Windows,1.86,0,0,100.45466986113651,Intel Core i3,500,0,AMD
HP,Notebook,4,Windows,1.44,0,0,111.93520355955211,Other Intel Processor,0,32,Intel
Lenovo,Notebook,4,Windows,1.9,0,0,141.21199808219862,Intel Core i5,1000,0,Intel
Asus,Gaming,12,Other,3.0,0,0,127.33567457123111,Intel Core i7,1000,0,Nvidia
Microsoft,Ultrabook,4,Windows,1.252,1,0,200.84255993695703,Intel Core i5,0,128,Intel
Dell,Ultrabook,8,Windows,1.4,0,1,165.6321180513006,Intel Core i7,0,256,AMD
Dell,Notebook,8,Windows,2.2,0,0,141.21199808219862,Intel Core i7,0,256,AMD
MSI,Gaming,8,Windows,2.7,0,0,127.33567457123111,Intel Core i5,1000,128,Nvidia
Acer,Notebook,8,Windows,2.1,0,0,111.93520355955211,Intel Core i3,1000,0,Intel
Asus,Gaming,8,Windows,2.2,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia
Lenovo,Notebook,8,Other,2.2,0,0,141.21199808219862,Intel Core i5,2000,0,Intel
Dell,Notebook,8,Windows,2.02,0,0,141.21199808219862,Intel Core i7,1000,128,Intel
Acer,Notebook,4,Windows,2.2,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia
HP,Notebook,8,Windows,2.5,0,0,127.33567457123111,Intel Core i5,1000,128,Nvidia
Dell,Ultrabook,8,Windows,1.88,0,1,141.21199808219862,Intel Core i5,0,256,Intel
Apple,Ultrabook,8,Mac,0.92,0,1,226.41554716935852,Intel Core i5,0,512,Intel
HP,Notebook,8,Windows,1.63,0,0,157.3505121487356,Intel Core i5,0,256,Intel
Lenovo,Notebook,4,Windows,2.2,0,0,141.21199808219862,AMD Processor,0,128,AMD
Acer,Notebook,4,Windows,2.1,0,0,100.45466986113651,AMD Processor,1000,0,AMD
Dell,Gaming,16,Windows,2.65,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia
HP,Ultrabook,8,Windows,1.83,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia
HP,Notebook,8,Windows,1.96,0,0,141.21199808219862,Intel Core i5,0,256,Intel
Asus,Gaming,16,Windows,2.2,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia
Dell,Ultrabook,8,Windows,1.21,0,1,165.6321180513006,Intel Core i7,0,256,Intel
Asus,Gaming,8,Windows,2.45,0,0,141.21199808219862,AMD Processor,1000,0,AMD
Acer,Notebook,8,Windows,2.2,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia
HP,Notebook,16,Windows,1.49,0,0,165.6321180513006,Intel Core i7,0,512,Intel
Dell,Gaming,8,Windows,2.65,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia
Asus,Ultrabook,8,Windows,1.25,0,0,157.3505121487356,Intel Core i7,0,256,Intel
Acer,2 in 1 Convertible,8,Windows,1.5,1,1,165.6321180513006,Intel Core i5,0,256,Intel
Dell,Notebook,8,Other,2.2,0,0,141.21199808219862,Intel Core i7,1000,0,AMD
Dell,Notebook,4,Other,2.2,0,0,141.21199808219862,Intel Core i3,0,256,AMD
Asus,Notebook,6,Windows,2.0,0,0,141.21199808219862,Intel Core i3,0,256,Nvidia
HP,Gaming,12,Windows,2.62,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia
HP,Notebook,8,Windows,1.91,0,0,141.21199808219862,Intel Core i7,0,256,AMD
HP,Notebook,4,Windows,2.1,0,0,141.21199808219862,AMD Processor,500,0,AMD
Dell,Notebook,8,Other,2.2,0,0,141.21199808219862,Intel Core i5,1000,0,AMD
HP,Ultrabook,8,Windows,1.38,0,1,165.6321180513006,Intel Core i7,0,256,Nvidia
Microsoft,Ultrabook,8,Windows,1.252,1,0,200.84255993695703,Intel Core i5,0,256,Intel
HP,Notebook,6,Windows,1.58,0,1,157.3505121487356,Intel Core i5,0,256,Nvidia
Lenovo,Notebook,4,Windows,1.85,0,0,141.21199808219862,Intel Core i3,1000,0,Intel
Asus,Ultrabook,8,Windows,1.3,0,1,157.3505121487356,Intel Core i7,0,256,Nvidia
MSI,Gaming,16,Windows,2.2,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia
Lenovo,Notebook,8,Windows,1.58,0,1,157.3505121487356,Intel Core i7,0,256,Intel
Asus,Ultrabook,16,Windows,1.5,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia
Dell,Ultrabook,8,Windows,1.23,1,0,276.053530085501,Intel Core i7,0,256,Intel
Lenovo,2 in 1 Convertible,8,Windows,1.37,1,1,165.6321180513006,Intel Core i5,0,256,Intel
HP,Notebook,4,Windows,1.63,0,1,111.93520355955211,Intel Core i5,500,0,Intel
Dell,Ultrabook,8,Windows,1.21,0,1,165.6321180513006,Intel Core i5,0,256,Intel
HP,2 in 1 Convertible,8,Windows,1.26,1,1,165.6321180513006,Intel Core i5,0,256,Intel
HP,Notebook,8,Windows,1.63,0,0,157.3505121487356,Intel Core i7,0,512,Intel
Dell,Notebook,8,Windows,2.16,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia
Asus,Notebook,4,Windows,2.0,0,0,127.33567457123111,Intel Core i3,1000,0,Nvidia
Asus,Notebook,8,Windows,1.7,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia
Acer,Notebook,6,Windows,2.1,1,1,141.21199808219862,Intel Core i3,1000,0,Intel
MSI,Gaming,16,Windows,1.8,0,0,141.21199808219862,Intel Core i7,2000,256,Nvidia
Lenovo,Notebook,8,Other,2.2,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia
HP,Notebook,16,Windows,2.5,0,0,127.33567457123111,Intel Core i7,0,512,Nvidia
Acer,Notebook,4,Windows,2.1,0,0,100.45466986113651,AMD Processor,0,256,AMD
HP,Notebook,4,Other,1.86,0,0,100.45466986113651,Other Intel Processor,500,0,Intel
HP,Notebook,8,Windows,1.63,0,0,157.3505121487356,Intel Core i5,1000,0,Intel
Asus,Notebook,4,Windows,1.65,0,0,111.93520355955211,AMD Processor,0,64,AMD
Dell,Notebook,16,Windows,2.8,0,0,127.33567457123111,Intel Core i7,2000,256,AMD
HP,Notebook,8,Windows,2.5,0,0,127.33567457123111,Intel Core i5,0,256,Intel
Dell,Notebook,8,Windows,2.36,0,0,100.45466986113651,Intel Core i5,1000,0,AMD
Dell,Notebook,4,Windows,2.2,0,0,141.21199808219862,Intel Core i3,1000,0,AMD
Acer,Ultrabook,8,Windows,1.6,0,1,157.3505121487356,Intel Core i7,0,256,Intel
Acer,Notebook,4,Windows,2.2,0,0,141.21199808219862,Intel Core i3,0,256,Nvidia
HP,Notebook,8,Windows,2.05,0,0,100.45466986113651,Intel Core i7,1000,0,Intel
HP,Notebook,8,Windows,1.63,0,0,157.3505121487356,Intel Core i7,0,256,Intel
Lenovo,Notebook,4,Other,1.9,0,0,100.45466986113651,Other Intel Processor,1000,0,Intel
Asus,Gaming,8,Windows,3.0,0,0,127.33567457123111,Intel Core i5,1000,128,Nvidia
Lenovo,Notebook,4,Other,2.2,0,0,141.21199808219862,Intel Core i5,1000,0,Nvidia
HP,Notebook,4,Windows,1.32,0,1,165.6321180513006,Intel Core i5,0,256,Intel
Acer,Notebook,4,Windows,3.0,0,1,127.33567457123111,Intel Core i3,1000,0,Nvidia
Lenovo,Notebook,8,Windows,1.75,0,1,157.3505121487356,Intel Core i5,0,256,AMD
Lenovo,Gaming,8,Other,2.4,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia
Toshiba,Notebook,4,Windows,2.1,0,0,100.45466986113651,Intel Core i5,500,0,Intel
HP,Notebook,4,Windows,1.86,0,0,100.45466986113651,AMD Processor,0,256,AMD
Asus,Ultrabook,8,Windows,1.25,0,0,157.3505121487356,Intel Core i7,0,256,Intel
HP,Ultrabook,8,Windows,0.97,1,1,352.4651472131677,Other Intel Processor,0,512,Intel
Asus,Notebook,4,Windows,2.0,0,0,141.21199808219862,Other Intel Processor,1000,0,Intel
MSI,Gaming,16,Windows,2.9,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia
Acer,Notebook,4,Windows,2.1,0,0,100.45466986113651,Intel Core i3,1000,0,Intel
Dell,Gaming,16,Windows,2.56,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia
Dell,Gaming,8,Windows,2.62,0,0,141.21199808219862,Intel Core i7,0,0,Nvidia
Lenovo,Notebook,4,Windows,1.9,0,0,100.45466986113651,Intel Core i5,0,128,Intel
MSI,Gaming,16,Windows,2.8,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia
HP,Ultrabook,4,Windows,1.48,0,0,157.3505121487356,Intel Core i5,0,256,Intel
HP,Notebook,6,Windows,1.91,0,0,141.21199808219862,Intel Core i5,0,256,AMD
Lenovo,2 in 1 Convertible,4,Windows,1.74,1,1,157.3505121487356,Intel Core i3,0,256,Intel
Asus,2 in 1 Convertible,8,Windows,1.1,1,0,165.6321180513006,Intel Core i5,0,256,Intel
Dell,2 in 1 Convertible,8,Windows,1.56,1,0,141.21199808219862,Intel Core i7,0,256,Intel
Toshiba,Notebook,4,Windows,2.1,0,0,100.45466986113651,Intel Core i3,500,0,Intel
Asus,Notebook,4,Windows,2.03,0,0,100.45466986113651,AMD Processor,1000,0,AMD
Acer,Notebook,4,Windows,3.0,0,1,127.33567457123111,Intel Core i5,0,256,Nvidia
Dell,Notebook,8,Windows,2.13,0,0,141.21199808219862,Intel Core i5,0,256,AMD
Lenovo,Gaming,16,Windows,2.5,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia
Acer,Notebook,4,Windows,2.1,0,0,100.45466986113651,Other Intel Processor,1000,0,Intel
MSI,Gaming,16,Windows,2.4,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia
Acer,Notebook,4,Windows,2.1,0,0,100.45466986113651,Other Intel Processor,1000,0,Intel
Dell,Gaming,8,Windows,2.56,0,0,141.21199808219862,Intel Core i7,1000,128,Nvidia
Acer,Notebook,8,Windows,3.0,0,1,127.33567457123111,Intel Core i5,0,256,Nvidia
HP,Notebook,4,Windows,1.49,0,1,165.6321180513006,Intel Core i5,500,0,Intel
Huawei,Ultrabook,8,Windows,1.05,0,1,199.69207064108247,Intel Core i5,0,256,Intel
HP,Notebook,6,Windows,2.71,0,1,127.33567457123111,Intel Core i5,2000,0,AMD
Lenovo,Notebook,4,Other,2.2,0,0,100.45466986113651,AMD Processor,500,0,AMD
Toshiba,Notebook,4,Windows,2.0,0,0,100.45466986113651,Intel Core i3,500,0,Intel
HP,Notebook,8,Windows,2.5,0,0,127.33567457123111,Intel Core i5,0,256,Nvidia
Dell,Notebook,8,Windows,2.3,0,0,100.45466986113651,Intel Core i3,1000,0,Intel
Acer,Notebook,4,Windows,2.1,0,0,100.45466986113651,Intel Core i3,0,128,Intel
MSI,Gaming,32,Windows,4.4,0,0,119.7232157653423,Intel Core i7,1000,512,Nvidia
Lenovo,Notebook,8,Windows,1.9,0,0,141.21199808219862,Intel Core i5,1000,128,AMD
HP,2 in 1 Convertible,8,Windows,1.29,1,1,331.2642361026012,Intel Core i5,0,256,Intel
Dell,Notebook,16,Other,2.02,0,0,141.21199808219862,Intel Core i7,2000,256,AMD
Dell,Ultrabook,8,Windows,1.23,0,0,165.6321180513006,Intel Core i5,0,256,Intel
Lenovo,2 in 1 Convertible,16,Windows,1.4,1,1,316.96506044349616,Intel Core i7,0,512,Intel
Toshiba,Notebook,8,Windows,2.0,0,0,100.45466986113651,Intel Core i5,0,128,Intel
Xiaomi,Notebook,8,Other,1.95,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia
Dell,Notebook,16,Windows,2.77,1,0,127.33567457123111,Intel Core i7,0,512,Nvidia
Dell,Notebook,16,Windows,2.06,1,0,282.42399616439724,Intel Core i7,0,512,Nvidia
Lenovo,Gaming,8,Other,2.4,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia
Acer,Ultrabook,8,Windows,1.12,0,1,165.6321180513006,Intel Core i5,0,256,Intel
Dell,Notebook,8,Windows,2.8,0,0,127.33567457123111,Intel Core i7,1000,128,AMD
Lenovo,2 in 1 Convertible,16,Windows,1.42,1,0,209.8006828649808,Intel Core i7,0,1000,Intel
Vero,Notebook,4,Windows,1.3,0,1,157.3505121487356,Other Intel Processor,0,0,Intel
Xiaomi,Ultrabook,8,Other,1.3,0,1,165.6321180513006,Intel Core i5,0,256,Nvidia
Lenovo,Notebook,8,Other,2.8,0,0,106.11306214269258,Intel Core i5,0,256,Nvidia
Dell,2 in 1 Convertible,8,Windows,1.62,1,1,165.6321180513006,Intel Core i7,1000,0,Intel
HP,Notebook,8,Windows,2.5,0,1,127.33567457123111,Intel Core i5,1000,0,Nvidia
Razer,Gaming,32,Windows,3.49,1,0,254.67134914246222,Intel Core i7,0,1000,Nvidia
HP,Notebook,8,Windows,1.49,0,0,165.6321180513006,Intel Core i5,0,512,Intel
HP,Gaming,16,Windows,3.35,0,1,127.33567457123111,Intel Core i7,1000,256,Nvidia
HP,Notebook,8,Windows,2.5,0,0,127.33567457123111,Intel Core i7,0,256,Nvidia
Dell,Gaming,16,Windows,2.65,0,1,282.42399616439724,Intel Core i7,1000,512,Nvidia
Lenovo,Notebook,4,Windows,2.1,0,0,100.45466986113651,Intel Core i5,0,128,Intel
Acer,Notebook,8,Windows,2.23,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia
Lenovo,Gaming,16,Windows,3.2,0,1,141.21199808219862,Intel Core i7,1000,512,Nvidia
Dell,Workstation,16,Windows,2.8,0,0,282.42399616439724,Other Intel Processor,1000,256,Nvidia
Lenovo,Gaming,16,Other,2.4,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia
Dell,Notebook,6,Windows,2.3,1,0,100.45466986113651,Intel Core i3,1000,0,Intel
Dell,Ultrabook,8,Windows,1.21,1,1,331.2642361026012,Intel Core i7,0,256,Intel
Dell,Ultrabook,8,Windows,1.2,0,0,165.6321180513006,Intel Core i7,0,256,Intel
Lenovo,Notebook,8,Windows,2.2,0,0,100.45466986113651,Intel Core i5,0,256,Intel
Acer,Notebook,8,Other,2.4,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia
Asus,Gaming,16,Windows,2.9,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia
HP,Notebook,4,Other,2.1,0,0,141.21199808219862,Intel Core i3,500,0,Intel
Lenovo,Notebook,8,Other,2.2,0,0,141.21199808219862,Intel Core i5,0,256,Intel
Huawei,Ultrabook,8,Windows,1.05,0,1,199.69207064108247,Intel Core i7,0,512,Intel
Dell,Ultrabook,8,Windows,1.4,0,1,165.6321180513006,Intel Core i7,0,256,AMD
Lenovo,Notebook,8,Other,2.8,0,0,106.11306214269258,Intel Core i5,1000,0,Nvidia
HP,Notebook,8,Windows,1.63,0,0,157.3505121487356,Intel Core i7,0,256,Nvidia
Dell,Ultrabook,8,Windows,1.6,0,0,157.3505121487356,Intel Core i5,0,256,Intel
Dell,2 in 1 Convertible,16,Windows,1.62,1,0,165.6321180513006,Intel Core i7,0,512,Intel
Dell,Notebook,8,Other,2.2,0,0,141.21199808219862,Intel Core i5,0,256,AMD
Lenovo,2 in 1 Convertible,8,Windows,1.74,0,1,157.3505121487356,Intel Core i5,0,256,Intel
Toshiba,Ultrabook,8,Windows,1.2,0,0,165.6321180513006,Intel Core i7,0,256,Intel
HP,Notebook,8,Windows,2.1,0,0,141.21199808219862,Intel Core i5,1000,0,Intel
Dell,Gaming,16,Windows,4.42,0,1,127.33567457123111,Intel Core i7,1000,256,Nvidia
Acer,Notebook,8,Windows,2.2,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia
Dell,Notebook,16,Windows,2.3,1,0,141.21199808219862,Intel Core i7,1000,0,AMD
Asus,Notebook,8,Windows,2.0,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia
Asus,Notebook,8,Windows,2.69,0,0,127.33567457123111,Intel Core i5,500,256,Nvidia
HP,Notebook,8,Windows,1.9,0,0,141.21199808219862,Intel Core i7,1000,0,AMD
Asus,Notebook,4,Windows,2.37,0,0,100.45466986113651,Intel Core i3,1000,0,Intel
HP,Notebook,4,Windows,2.1,0,0,100.45466986113651,AMD Processor,500,0,AMD
Lenovo,Gaming,16,Windows,3.2,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia
Dell,Notebook,8,Windows,1.6,0,0,157.3505121487356,Intel Core i5,0,256,Intel
Acer,2 in 1 Convertible,8,Windows,1.6,1,1,165.6321180513006,Intel Core i5,0,256,Intel
Dell,Notebook,16,Other,2.36,0,0,141.21199808219862,Intel Core i7,0,256,AMD
Acer,Notebook,4,Other,2.1,0,0,100.45466986113651,Intel Core i3,1000,0,Intel
Asus,Notebook,4,Windows,2.2,0,0,141.21199808219862,AMD Processor,1000,128,AMD
Asus,Gaming,32,Windows,4.7,0,0,127.33567457123111,Intel Core i7,1000,512,Nvidia
Acer,Gaming,8,Windows,2.5,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia
Lenovo,Notebook,8,Windows,2.2,0,0,100.45466986113651,Intel Core i3,0,128,Intel
Asus,Notebook,8,Windows,2.1,0,0,127.33567457123111,Intel Core i7,1000,128,Nvidia
Asus,Notebook,8,Other,2.69,0,0,127.33567457123111,Intel Core i7,1000,128,Nvidia
Dell,Gaming,8,Windows,2.56,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia
Lenovo,2 in 1 Convertible,8,Windows,1.38,1,1,158.48253022174808,Intel Core i7,0,256,Intel
Dell,Notebook,8,Windows,2.2,0,0,141.21199808219862,Intel Core i7,2000,128,AMD
HP,Notebook,8,Windows,2.04,1,0,100.45466986113651,Intel Core i5,1000,0,Intel
Asus,Gaming,16,Windows,3.6,0,0,127.33567457123111,Intel Core i7,0,256,Nvidia
HP,Notebook,4,Windows,1.49,0,1,165.6321180513006,Intel Core i5,500,0,Intel
Apple,Ultrabook,8,Mac,1.37,0,1,226.98300468106115,Intel Core i5,0,512,Intel
Dell,2 in 1 Convertible,8,Windows,2.08,1,1,141.21199808219862,Intel Core i7,1000,0,Intel
Asus,Gaming,16,Windows,4.3,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia
Asus,Notebook,4,Windows,1.68,0,0,100.45466986113651,AMD Processor,1000,0,AMD
Lenovo,2 in 1 Convertible,8,Windows,1.37,1,1,158.48253022174808,Intel Core i7,0,512,Intel
Acer,Notebook,4,Windows,3.0,0,1,127.33567457123111,Intel Core i3,0,256,Nvidia
Dell,Ultrabook,8,Windows,1.41,0,0,165.6321180513006,Intel Core i5,0,256,Intel
HP,Notebook,8,Windows,1.91,0,0,100.45466986113651,AMD Processor,0,128,AMD
HP,Notebook,16,Windows,2.9,0,1,127.33567457123111,Intel Core i7,1000,0,Nvidia
MSI,Gaming,16,Windows,4.14,0,0,127.33567457123111,Intel Core i7,1000,512,Nvidia
Lenovo,2 in 1 Convertible,8,Windows,2.0,1,1,141.21199808219862,Intel Core i7,0,512,Nvidia
Dell,Notebook,8,Windows,2.8,0,0,127.33567457123111,Intel Core i7,1000,128,AMD
Lenovo,Notebook,4,Other,2.2,0,0,141.21199808219862,Intel Core i3,0,256,Intel
HP,Notebook,4,Windows,2.1,0,1,141.21199808219862,Intel Core i5,500,0,Intel
Dell,Notebook,4,Windows,2.18,0,0,141.21199808219862,Intel Core i5,1000,0,Intel
Dell,Notebook,8,Windows,2.24,0,0,141.21199808219862,Intel Core i5,1000,0,AMD
Dell,2 in 1 Convertible,8,Windows,2.67,1,0,141.21199808219862,Intel Core i5,0,256,Intel
Asus,2 in 1 Convertible,8,Windows,1.1,1,0,165.6321180513006,Intel Core i7,0,1024,Intel
Lenovo,Notebook,4,Other,2.2,0,0,141.21199808219862,Intel Core i5,1000,0,Intel
HP,Notebook,8,Windows,2.5,0,0,127.33567457123111,Intel Core i7,1000,0,Nvidia
Lenovo,Notebook,8,Windows,2.05,0,0,141.21199808219862,Intel Core i7,0,256,Intel
Apple,Ultrabook,8,Mac,1.37,0,1,226.98300468106115,Intel Core i5,0,512,Intel
Asus,Gaming,16,Windows,3.2,0,0,127.33567457123111,AMD Processor,1000,256,AMD
Dell,Notebook,8,Other,2.14,0,0,141.21199808219862,Intel Core i7,0,256,AMD
Lenovo,2 in 1 Convertible,16,Windows,1.36,1,0,209.8006828649808,Intel Core i7,0,512,Intel
Toshiba,Notebook,8,Windows,2.2,0,0,100.45466986113651,Intel Core i7,500,0,Nvidia
Dell,Notebook,12,Windows,2.3,0,0,100.45466986113651,Intel Core i7,1000,0,Intel
Dell,Notebook,8,Other,2.8,0,0,127.33567457123111,Intel Core i7,1000,128,AMD
Acer,Notebook,8,Windows,2.2,0,1,141.21199808219862,Intel Core i7,1000,0,Nvidia
Lenovo,Notebook,4,Windows,2.8,0,0,106.11306214269258,Intel Core i3,1000,0,Intel
Lenovo,Notebook,8,Other,2.8,0,0,127.33567457123111,Intel Core i7,2000,0,Nvidia
Lenovo,Notebook,6,Windows,2.8,0,0,106.11306214269258,Intel Core i7,1000,128,Nvidia
Dell,Notebook,4,Other,2.25,0,0,141.21199808219862,Intel Core i3,1000,0,AMD
Lenovo,Gaming,8,Windows,2.5,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia
