course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,profit,published_date,published_time,year,month,day,Clean_title
831066,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),https://www.udemy.com/learn-mql5/,True,150,2877,103,81,All Levels,4.5 hours,2016-04-26T22:41:46Z,Business Finance,431550,2016-04-26,22:41:46Z,2016,4,26,Learn MQL5 Build 8Currency Hedging Robot MetaTrader 5
1266306,Forex Trading: Your Complete Guide to Get Started Like a Pro,https://www.udemy.com/forex-trading-your-complete-guide-to-get-started-like-a-pro/,True,140,1026,25,37,Beginner Level,3 hours,2017-06-27T22:21:31Z,Business Finance,143640,2017-06-27,22:21:31Z,2017,6,27,Forex Trading Complete Guide Started Like Pro
1170894,Python Algo Stock Trading: Automate Your Trading!,https://www.udemy.com/algorithmic-stock-trading-bootcamp-automate-your-trading/,True,95,1165,21,41,Beginner Level,2.5 hours,2017-05-28T23:41:03Z,Business Finance,110675,2017-05-28,23:41:03Z,2017,5,28,Python Algo Stock Trading Automate Trading
948974,THE Forex Robot: Incredible ROI (Robot Included),https://www.udemy.com/the-forex-robot-1000-annual-profit-robot-included/,True,200,1843,171,35,All Levels,1.5 hours,2016-10-04T15:20:57Z,Business Finance,368600,2016-10-04,15:20:57Z,2016,10,4,Forex Robot Incredible ROI Robot Included
380970,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,https://www.udemy.com/bitcoin-for-beginners/,True,45,8797,449,80,All Levels,6.5 hours,2015-01-09T03:55:15Z,Business Finance,395865,2015-01-09,03:55:15Z,2015,1,9,Complete Bitcoin Course 001 Bitcoin Wallet
1217778,Mastering High Probability Iron Condor Options Trading,https://www.udemy.com/mastering-high-probability-iron-condor-options-trading/,True,200,1030,11,22,All Levels,2 hours,2017-06-01T05:22:08Z,Business Finance,206000,2017-06-01,05:22:08Z,2017,6,1,Mastering High Probability Iron Condor Options Trading
1246208,The Complete Short Course on Ethereum,https://www.udemy.com/ethereum1/,True,200,1041,12,28,All Levels,1.5 hours,2017-06-11T19:02:03Z,Business Finance,208200,2017-06-11,19:02:03Z,2017,6,11,Complete Short Course Ethereum
434774,Options Trading Stocks: Proven Toolbox For Financial Success,https://www.udemy.com/trading-stock-options-ii-simplified-strategies-for-success/,True,195,7884,118,68,Intermediate Level,10 hours,2015-05-19T23:25:41Z,Business Finance,1537380,2015-05-19,23:25:41Z,2015,5,19,Options Trading Stocks Proven Toolbox Financial Success
308690,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,https://www.udemy.com/forex-trading/,True,195,16900,2476,52,Beginner Level,5.5 hours,2014-12-12T23:58:39Z,Business Finance,3295500,2014-12-12,23:58:39Z,2014,12,12,Forex Trading AZ  LIVE Examples Forex Trading
888716,"Introduction to Finance, Accounting, Modeling and Valuation",https://www.udemy.com/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,True,200,11441,1118,61,All Levels,4.5 hours,2016-06-28T06:12:23Z,Business Finance,2288200,2016-06-28,06:12:23Z,2016,6,28,Introduction Finance Accounting Modeling Valuation
321410,Beginner to Pro in Excel: Financial Modeling and Valuation,https://www.udemy.com/beginner-to-pro-in-excel-financial-modeling-and-valuation/,True,195,22257,2697,138,All Levels,7.5 hours,2014-11-25T23:00:40Z,Business Finance,4340115,2014-11-25,23:00:40Z,2014,11,25,Beginner Pro Excel Financial Modeling Valuation
965832,The Complete Investment Banking Course 2017,https://www.udemy.com/the-complete-investment-banking-course-2016/,True,195,8575,809,110,All Levels,5.5 hours,2016-10-10T16:16:26Z,Business Finance,1672125,2016-10-10,16:16:26Z,2016,10,10,Complete Investment Banking Course 2017
648826,The Complete Financial Analyst Course 2017,https://www.udemy.com/the-complete-financial-analyst-course/,True,195,24481,2347,174,All Levels,10 hours,2016-01-21T01:38:48Z,Business Finance,4773795,2016-01-21,01:38:48Z,2016,1,21,Complete Financial Analyst Course 2017
1035472,Python for Finance: Investment Fundamentals & Data Analytics,https://www.udemy.com/python-for-finance-investment-fundamentals-data-analytics/,True,195,3811,278,103,All Levels,6.5 hours,2017-03-30T22:17:09Z,Business Finance,743145,2017-03-30,22:17:09Z,2017,3,30,Python Finance Investment Fundamentals  Data Analytics
1154754,Financial Modeling for Startups & Small Businesses,https://www.udemy.com/financial-modeling-for-startups-small-businesses/,True,195,4991,137,79,Beginner Level,11.5 hours,2017-03-29T22:36:05Z,Business Finance,973245,2017-03-29,22:36:05Z,2017,3,29,Financial Modeling Startups  Small Businesses
627540,Options Trading - How to Win with Weekly Options,https://www.udemy.com/work-from-home-setup-your-own-options-trading-business/,True,115,7489,1190,25,Intermediate Level,1 hour,2015-10-22T21:54:28Z,Business Finance,861235,2015-10-22,21:54:28Z,2015,10,22,Options Trading  Win Weekly Options
301442,Black Algo Trading: Build Your Trading Robot,https://www.udemy.com/build-your-trading-robot/,True,200,20195,1113,227,All Levels,16 hours,2014-10-27T22:01:36Z,Business Finance,4039000,2014-10-27,22:01:36Z,2014,10,27,Black Algo Trading Build Trading Robot
640100,Accounting & Financial Statement Analysis: Complete Training,https://www.udemy.com/accounting-fsa-a-solid-foundation-for-a-career-in-finance/,True,150,10042,594,43,All Levels,3 hours,2015-10-22T00:03:48Z,Business Finance,1506300,2015-10-22,00:03:48Z,2015,10,22,Accounting  Financial Statement Analysis Complete Training
1247394,Cryptocurrency Trading: Complete Guide To Trading Altcoins,https://www.udemy.com/cryptocurrency-trading/,True,95,367,42,35,All Levels,5 hours,2017-06-21T23:18:47Z,Business Finance,34865,2017-06-21,23:18:47Z,2017,6,21,Cryptocurrency Trading Complete Guide Trading Altcoins
260470,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,https://www.udemy.com/backtesting/,True,200,10603,872,42,All Levels,5.5 hours,2014-10-12T21:19:11Z,Business Finance,2120600,2014-10-12,21:19:11Z,2014,10,12,Forex Robots Expect Earn 175 PA Forex Robot Included
1214702,Three Steps Trading - Live Trading - Real Account,https://www.udemy.com/three-steps-trading-live-trading-real-account/,True,190,1197,11,46,All Levels,5 hours,2017-05-24T23:02:07Z,Business Finance,227430,2017-05-24,23:02:07Z,2017,5,24,Steps Trading  Live Trading  Real Account
848664,Option Trading for Rookies:  Understand Options Completely,https://www.udemy.com/complete-course-introduction-to-option-trading/,True,150,2893,65,62,All Levels,2 hours,2016-08-10T15:27:06Z,Business Finance,433950,2016-08-10,15:27:06Z,2016,8,10,Option Trading Rookies Understand Options Completely
1142570,How I Learned Stock Trading (and How You Can Too),https://www.udemy.com/best-stock-traders/,True,200,1580,12,53,Expert Level,2 hours,2017-05-02T21:20:54Z,Business Finance,316000,2017-05-02,21:20:54Z,2017,5,2,Learned Stock Trading and Too
325834,Learn to Trade for Profit: Find and Trade Winning Stocks,https://www.udemy.com/trading-stocks-successfully-introduction-to-stock-trading/,True,95,10605,71,77,All Levels,3 hours,2014-10-24T18:13:49Z,Business Finance,1007475,2014-10-24,18:13:49Z,2014,10,24,Learn Trade Profit Find Trade Winning Stocks
411168,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,https://www.udemy.com/trading-inside-bars-find-setups-today-make-money-tomorrow/,True,125,2996,200,23,Intermediate Level,2 hours,2015-03-09T00:24:38Z,Business Finance,374500,2015-03-09,00:24:38Z,2015,3,9,Trading Inside Bars  Master 1 Easy Pattern Successful
885974,Four Fundamentals of Financial Planning,https://www.udemy.com/four-fundamentals-of-financial-planning/,True,30,6219,23,20,All Levels,1 hour,2017-02-14T04:42:58Z,Business Finance,186570,2017-02-14,04:42:58Z,2017,2,14,Fundamentals Financial Planning
1151092,Options Trading - Calendar Spread Course for Every Trader,https://www.udemy.com/options-trading-calendar-spread-course-for-every-trader/,True,200,1113,11,17,All Levels,1.5 hours,2017-04-02T21:46:00Z,Business Finance,222600,2017-04-02,21:46:00Z,2017,4,2,Options Trading  Calendar Spread Course Trader
358326,Dividend Investing: Build Your Portfolio for a Better Future,https://www.udemy.com/dividend-investing/,True,60,8314,83,47,Beginner Level,4 hours,2015-01-24T06:31:19Z,Business Finance,498840,2015-01-24,06:31:19Z,2015,1,24,Dividend Investing Build Portfolio Better Future
153210,Learn Accounting. Understand Business.,https://www.udemy.com/learn-accounting-understand-business/,True,200,5572,123,33,Beginner Level,5.5 hours,2014-03-27T17:58:37Z,Business Finance,1114400,2014-03-27,17:58:37Z,2014,3,27,Learn Accounting Understand Business
834836,How to Consistently Win Trading Stocks in 30 Days or Less,https://www.udemy.com/winningstocktrades/,True,145,1433,169,15,Intermediate Level,1 hour,2016-05-09T05:44:33Z,Business Finance,207785,2016-05-09,05:44:33Z,2016,5,9,Consistently Win Trading Stocks 30 Days
1171994,A Beginner's Guide to Quantopian Futures API,https://www.udemy.com/quantopian-futures/,True,20,936,6,11,Intermediate Level,1.5 hours,2017-04-11T00:59:50Z,Business Finance,18720,2017-04-11,00:59:50Z,2017,4,11,Beginners Guide Quantopian Futures API
1239068,How to Buy Cheap Options - Options Trading Pricing Model,https://www.udemy.com/options-black-scholes-model/,True,200,658,2,19,All Levels,1 hour,2017-06-02T18:12:45Z,Business Finance,131600,2017-06-02,18:12:45Z,2017,6,2,Buy Cheap Options  Options Trading Pricing Model
985922,Excel Crash Course: Master Excel for Financial Analysis,https://www.udemy.com/excel-crash-course-master-excel-for-financial-analysis/,True,105,8121,689,40,All Levels,3.5 hours,2016-10-18T00:51:59Z,Business Finance,852705,2016-10-18,00:51:59Z,2016,10,18,Excel Crash Course Master Excel Financial Analysis
765562,"Comprehensive Guide to Financial Markets, Investing &Trading",https://www.udemy.com/financial-markets-a-to-z-for-beginners/,True,60,4187,600,79,Beginner Level,9 hours,2016-02-29T18:45:41Z,Business Finance,251220,2016-02-29,18:45:41Z,2016,2,29,Comprehensive Guide Financial Markets Investing Trading
165964,Stock Trading Ninja: Complete System For Trading Success,https://www.udemy.com/stock-trading-ninja-learn-how-to-make-money-trading-stocks/,True,155,9445,497,38,All Levels,4.5 hours,2014-02-19T19:04:28Z,Business Finance,1463975,2014-02-19,19:04:28Z,2014,2,19,Stock Trading Ninja Complete System Trading Success
855172,Hedge and Mutual Fund Careers: The Complete Guide,https://www.udemy.com/hedge-fund-mutual-fund-careers-the-complete-guide-how-to-pick-stocks/,True,200,3255,340,102,All Levels,8.5 hours,2016-06-20T20:17:12Z,Business Finance,651000,2016-06-20,20:17:12Z,2016,6,20,Hedge Mutual Fund Careers Complete Guide
258232,Algorithmic Trading In Forex: Create Your First Forex Robot!,https://www.udemy.com/learn-mql4/,True,185,7941,713,40,All Levels,6.5 hours,2014-08-11T08:01:14Z,Business Finance,1469085,2014-08-11,08:01:14Z,2014,8,11,Algorithmic Trading Forex Create Forex Robot
994754,The Power Modeling Bootcamp: Advanced Excel in 10 Days,https://www.udemy.com/the-power-modeling-bootcamp-advanced-excel-in-10-days/,True,150,1680,158,76,All Levels,5.5 hours,2016-11-26T04:09:14Z,Business Finance,252000,2016-11-26,04:09:14Z,2016,11,26,Power Modeling Bootcamp Advanced Excel 10 Days
43319,Options Trading Basics (3-Course Bundle),https://www.udemy.com/learn-options-trading-courses/,True,180,10100,985,45,Beginner Level,11 hours,2013-02-25T11:36:06Z,Business Finance,1818000,2013-02-25,11:36:06Z,2013,2,25,Options Trading Basics 3Course Bundle
408440,How to Win 97% of Your Options Trades,https://www.udemy.com/how-to-win-97-percent-of-your-trades/,True,125,5050,461,26,All Levels,1.5 hours,2015-02-10T04:21:40Z,Business Finance,631250,2015-02-10,04:21:40Z,2015,2,10,Win 97 Options Trades
918688,How I Make Consistent Returns Trading Options,https://www.udemy.com/how-i-make-15-per-month-trading-options/,True,200,2310,162,26,All Levels,3.5 hours,2016-10-05T17:42:52Z,Business Finance,462000,2016-10-05,17:42:52Z,2016,10,5,Consistent Returns Trading Options
308694,"Forex Strategies: Kelly Criterion, Larry Williams and more!",https://www.udemy.com/money-management/,True,185,5528,506,32,All Levels,3 hours,2015-02-19T11:31:27Z,Business Finance,1022680,2015-02-19,11:31:27Z,2015,2,19,Forex Strategies Kelly Criterion Larry Williams more
199450,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",https://www.udemy.com/elite-trend-trader-how-to-make-a-fortune-trading-the-trend/,True,125,6451,237,28,All Levels,5 hours,2014-04-16T13:58:31Z,Business Finance,806375,2014-04-16,13:58:31Z,2014,4,16,Elite Trend Trader Learn Trade Stocks Options  Forex
401784,Options Trading Introduction: Day Trade Stock Options,https://www.udemy.com/how-to-trade-stock-options-level-1-start-day-trading/,True,95,12394,218,30,Beginner Level,2.5 hours,2015-02-20T21:39:41Z,Business Finance,1177430,2015-02-20,21:39:41Z,2015,2,20,Options Trading Introduction Day Trade Stock Options
1122792,The Almost Perfect Options Trading Strategy System - Unique,https://www.udemy.com/the-almost-perfect-options-trading-strategy-system-unique/,True,200,1793,18,15,All Levels,1 hour,2017-03-03T21:43:05Z,Business Finance,358600,2017-03-03,21:43:05Z,2017,3,3,Perfect Options Trading Strategy System  Unique
709500,Forex Trading -  Learn to Trade Forex Like the Banks,https://www.udemy.com/forex-trading-learn-the-same-strategies-used-by-banks/,True,20,3223,240,23,All Levels,1 hour,2016-03-30T15:29:03Z,Business Finance,64460,2016-03-30,15:29:03Z,2016,3,30,Forex Trading  Learn Trade Forex Like Banks
285638,Learn to Trade for Profit:Trading with Japanese Candlesticks,https://www.udemy.com/introduction-to-japanese-candlesticks/,True,60,16385,273,45,Beginner Level,3 hours,2014-09-02T03:53:13Z,Business Finance,983100,2014-09-02,03:53:13Z,2014,9,2,Learn Trade ProfitTrading Japanese Candlesticks
1135126,The Most Powerful Options Spread Trading Front Ratio Spread,https://www.udemy.com/the-most-powerful-options-spread-trading-front-ratio-spread/,True,200,1487,16,18,All Levels,2 hours,2017-03-08T21:09:41Z,Business Finance,297400,2017-03-08,21:09:41Z,2017,3,8,Powerful Options Spread Trading Ratio Spread
834558,What Finance Job is for You? Explanation of 14 Finance Roles,https://www.udemy.com/what-finance-job-is-for-you-explanation-of-14-financial-analyst-roles/,True,200,2951,232,60,All Levels,4 hours,2016-05-04T05:22:32Z,Business Finance,590200,2016-05-04,05:22:32Z,2016,5,4,Finance Job You Explanation 14 Finance Roles
551968,The Blueprint for Successful Stock Trading,https://www.udemy.com/stock-market-millionaire-blueprint/,True,120,2697,331,15,All Levels,1 hour,2015-08-13T18:58:05Z,Business Finance,323640,2015-08-13,18:58:05Z,2015,8,13,Blueprint Successful Stock Trading
1005658,Trading for Beginners - Intermediate Level,https://www.udemy.com/trading-for-beginners-tier-2/,True,150,3979,40,39,Beginner Level,5 hours,2016-11-09T01:45:20Z,Business Finance,596850,2016-11-09,01:45:20Z,2016,11,9,Trading Beginners  Intermediate Level
746432,Start Trading Stocks Using Technical Analysis!,https://www.udemy.com/professional-stock-trader/,True,25,3190,244,45,All Levels,4 hours,2016-02-03T17:10:31Z,Business Finance,79750,2016-02-03,17:10:31Z,2016,2,3,Start Trading Stocks Technical Analysis
1057242,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,https://www.udemy.com/hedge-fund-startup/,True,200,1406,71,54,Expert Level,1.5 hours,2017-01-18T20:55:27Z,Business Finance,281200,2017-01-18,20:55:27Z,2017,1,18,Learn Set Incubator Hedge Fund  StepbyStep
284118,VPS for Forex Trading - Protect Your Forex Robots,https://www.udemy.com/forex-vps/,True,160,4252,225,24,All Levels,2 hours,2014-09-19T04:07:58Z,Business Finance,680320,2014-09-19,04:07:58Z,2014,9,19,VPS Forex Trading  Protect Forex Robots
302562,Introduction to Accounting: The Language of Business,https://www.udemy.com/learnaccountingforfree/,True,20,11958,370,134,Beginner Level,11.5 hours,2014-10-02T09:16:55Z,Business Finance,239160,2014-10-02,09:16:55Z,2014,10,2,Introduction Accounting Language Business
596598,Basic Excel for Basic Bookkeeping and Accounting,https://www.udemy.com/basic-excel-for-basic-bookkeeping/,True,95,7743,340,33,Beginner Level,1.5 hours,2015-09-10T00:30:48Z,Business Finance,735585,2015-09-10,00:30:48Z,2015,9,10,Basic Excel Basic Bookkeeping Accounting
860890,"Using 'The Greeks To Understand Options""",https://www.udemy.com/options-greeks/,True,50,2134,55,5,All Levels,1 hour,2016-07-13T18:37:40Z,Business Finance,106700,2016-07-13,18:37:40Z,2016,7,13,The Greeks Understand Options
951050,Trading Options For Consistent Returns: Calendar Spreads,https://www.udemy.com/trading-options-for-consistent-returns-calendar-spreads/,True,200,1214,69,20,All Levels,1.5 hours,2016-10-07T04:58:46Z,Business Finance,242800,2016-10-07,04:58:46Z,2016,10,7,Trading Options Consistent Returns Calendar Spreads
796450,How to Create Your Personal Budget,https://www.udemy.com/personal-budget/,True,20,3870,53,10,All Levels,1 hour,2016-03-21T21:09:49Z,Business Finance,77400,2016-03-21,21:09:49Z,2016,3,21,Create Personal Budget
502772,The Complete Value Investing Course: A Proven Approach,https://www.udemy.com/value-investing-essential-guide-to-picking-stocks/,True,200,2146,212,49,All Levels,4.5 hours,2015-06-16T22:43:07Z,Business Finance,429200,2015-06-16,22:43:07Z,2015,6,16,Complete Value Investing Course Proven Approach
1102462,FOREX Trading with Price Action,https://www.udemy.com/forex-trading-system/,True,195,484,57,19,Beginner Level,1 hour,2017-03-14T18:30:55Z,Business Finance,94380,2017-03-14,18:30:55Z,2017,3,14,FOREX Trading Price Action
1062092,Emini ES Futures - Advanced Non Directional Options Trading,https://www.udemy.com/emini-es-futures-advanced-non-directional-options-trading/,True,200,1057,15,14,All Levels,1.5 hours,2017-01-11T20:48:19Z,Business Finance,211400,2017-01-11,20:48:19Z,2017,1,11,Emini ES Futures  Advanced Non Directional Options Trading
891484,Forex Trading - Advanced Fundamental Analysis,https://www.udemy.com/forex-trading-advanced-fundamental-analysis/,True,20,1754,100,49,Intermediate Level,2.5 hours,2016-06-30T17:06:46Z,Business Finance,35080,2016-06-30,17:06:46Z,2016,6,30,Forex Trading  Advanced Fundamental Analysis
1217064,How To Invest With Tiny Capital In Stocks ?,https://www.udemy.com/howtoinvest5k/,True,20,1239,5,6,Beginner Level,42 mins,2017-05-23T16:07:09Z,Business Finance,24780,2017-05-23,16:07:09Z,2017,5,23,Invest Tiny Capital Stocks 
382204,Learn How To Successfully Trade Stocks: In 5 Simple Steps,https://www.udemy.com/learn-how-to-successfully-trade-stocks-in-5-simple-steps/,True,95,2493,276,108,All Levels,9.5 hours,2015-01-31T19:02:09Z,Business Finance,236835,2015-01-31,19:02:09Z,2015,1,31,Learn Successfully Trade Stocks 5 Simple Steps
1259560,Test your knowledge in Basics of Accounting,https://www.udemy.com/test-your-knowledge-in-basics-of-accounting/,True,30,1000,11,0,Beginner Level,218 questions,2017-06-20T05:56:52Z,Business Finance,30000,2017-06-20,05:56:52Z,2017,6,20,Test knowledge Basics Accounting
308696,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,https://www.udemy.com/metatrader4/,True,150,2602,402,57,Beginner Level,5 hours,2015-10-28T17:32:56Z,Business Finance,390300,2015-10-28,17:32:56Z,2015,10,28,Forex MetaTrader 4 Master MT4 Like Pro Forex Trader
1270254,Test your Knowledge in Cost Accounting,https://www.udemy.com/test-your-knowledge-in-cost-accounting/,True,30,999,3,0,All Levels,18 questions,2017-06-27T10:43:44Z,Business Finance,29970,2017-06-27,10:43:44Z,2017,6,27,Test Knowledge Cost Accounting
474928,Intermediate Options trading concepts for Stocks and Options,https://www.udemy.com/intermediate-options-trading-concepts-for-stocks-and-options-traders/,True,40,2000,30,9,All Levels,1 hour,2015-04-13T20:28:04Z,Business Finance,80000,2015-04-13,20:28:04Z,2015,4,13,Intermediate Options trading concepts Stocks Options
